Recorded at;2017-11-28 14:46:47
Frames;178
;;;CenterOfGravity;;;LWristPositions;;;LWristAngles;;;LElbowPositions;;;LElbowAngles;;;LShoulderPositions;;;LShoulderAngles;;;RWristPositions;;;RWristAngles;;;RElbowPositions;;;RElbowAngles;;;RShoulderPositions;;;RShoulderAngles;;;LToePositions;;;LToeAngles;;;LAnklePositions;;;LAnkleAngles;;;LKneePositions;;;LKneeAngles;;;LHipPositions;;;LHipAngles;;;RToePositions;;;RToeAngles;;;RAnklePositions;;;RAnkleAngles;;;RKneePositions;;;RKneeAngles;;;RHipPositions;;;RHipAngles;;;Frontal Plane Knee Angle;;Frontal Plane Projection Angle;;Left Toe Out;Right Toe Out;Knee Hip Ratio;Knee Ankle Ratio;Left Varus/Valgus;Right Varus/Valgus;
Frame;Sub Frame;Annotations;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;Left;Right;Left;Right;;;;
;;;mm;mm;mm;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;deg;deg;deg;deg;deg;deg;Ratio;Ratio;deg;deg;
0;0;;-522.426392; 918.585938;-493.308990;-759.967896; 741.304321;-535.097107; 0.017550;-0.037013; 0.189464;-744.407043; 986.037354;-501.478546; 0.000000; 2.885397; 0.000000;-659.096802; 1284.664551;-502.855682; 180.594055; 156.024933; 137.127502;-270.150238; 738.563782;-485.303223; 0.028576;-0.077902; 0.214888;-313.941986; 979.801758;-451.345703; 0.000000; 2.901978; 0.000000;-419.549194; 1271.680542;-461.919556; 69.011925;-58.162361; 81.730652; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-577.047852; 16.406494;-382.383301; 40.427967; 19.205284;-8.043855;-586.152161; 380.990540;-475.717957;-10.628130; 0.000000; 0.000000;-591.931641; 749.035706;-499.779510; 0.148796; 1.521704;-3.518565; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-423.304688; 23.481476;-383.200562; 29.432920; 18.754498; 23.690205;-418.803467; 392.277283;-458.600952;-10.542875; 0.000000;-0.000000;-437.487366; 760.529419;-469.131927; 2.932223; 5.139446; 9.328832; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
1;0;;-522.702209; 918.843506;-492.811310;-759.677551; 741.537354;-537.042847; 0.014297;-0.045038; 0.185158;-744.872192; 986.074707;-501.703278; 0.000000; 2.878719; 0.000000;-659.387024; 1284.652344;-502.993469; 180.773987; 155.968521; 135.072235;-270.675568; 738.441589;-486.228180; 0.024047;-0.088923; 0.215303;-314.448975; 979.640930;-451.973450; 0.000000; 2.903374; 0.000000;-419.609161; 1271.699707;-462.023254; 69.740845;-57.073364; 82.814835; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-577.628906; 16.829895;-382.144012; 40.498646; 19.210154;-8.634425;-586.248840; 381.288727;-476.012054;-10.638676; 0.000000; 0.000000;-592.286743; 749.300842;-500.511566;-0.472977; 1.697478;-4.092130; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-423.266083; 23.628754;-382.334717; 29.471136; 18.757347; 23.625843;-418.836578; 392.250885;-458.583466;-10.584853; 0.000000;-0.000000;-437.838562; 760.467590;-469.762878; 2.261042; 4.947912; 9.195992; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
2;0;;-523.374573; 919.057983;-492.659943;-759.818481; 741.338501;-538.041870; 0.015280;-0.056299; 0.179727;-745.187805; 985.807739;-502.161926; 0.000000; 2.878408; 0.000000;-660.208679; 1284.530029;-503.401550; 180.871872; 156.114410; 132.984802;-271.177643; 738.353577;-487.388367; 0.017698;-0.100805; 0.215979;-315.267151; 979.511719;-453.249023; 0.000000; 2.906783; 0.000000;-420.165741; 1271.686523;-462.637177; 70.257942;-55.996815; 83.643753; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-578.147339; 17.226776;-382.233093; 40.604038; 19.187849;-9.491836;-586.424438; 381.557587;-476.627777;-10.623676; 0.000000; 0.000000;-592.933716; 749.521118;-501.729462;-1.167046; 1.894316;-4.828168; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-423.284973; 23.774597;-381.789795; 29.505339; 18.729061; 23.448109;-419.149963; 392.224182;-458.884552;-10.554609; 0.000000;-0.000000;-438.438141; 760.392700;-471.113251; 1.475394; 4.763007; 9.127929; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
3;0;;-523.379456; 919.086853;-492.803467;-759.660889; 741.072083;-539.155212; 0.018004;-0.071020; 0.173921;-744.763245; 985.485718;-503.007385; 0.000000; 2.879991; 0.000000;-660.271362; 1284.346069;-504.265839; 180.995651; 156.249710; 131.180222;-271.101288; 737.980835;-487.821320; 0.008521;-0.109993; 0.217474;-315.291412; 979.111755;-453.620087; 0.000000; 2.906456; 0.000000;-419.974060; 1271.350708;-463.412659; 70.765251;-54.797142; 84.323067; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-578.507629; 17.620636;-381.962311; 40.671989; 19.218105;-10.109537;-586.033752; 381.730011;-477.270020;-10.585782; 0.000000; 0.000000;-592.966980; 749.605957;-503.516144;-2.044190; 2.129308;-5.905073; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-423.068237; 23.733032;-381.982208; 29.657389; 18.718531; 23.154005;-419.056702; 391.960968;-460.135315;-10.599252; 0.000000;-0.000000;-438.407043; 760.101196;-473.094238; 0.638978; 4.594294; 9.161235; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
4;0;;-523.451050; 919.121338;-492.694977;-759.401123; 740.657532;-540.481689; 0.024494;-0.089743; 0.167580;-744.067444; 985.027771;-504.223114; 0.000000; 2.884787; 0.000000;-660.412048; 1284.125488;-504.776001; 180.949615; 156.439590; 129.443878;-271.811951; 737.515503;-488.783386;-0.002708;-0.120536; 0.218413;-315.720398; 978.624146;-454.065796; 0.000000; 2.905815; 0.000000;-419.916748; 1271.043945;-463.646423; 71.306824;-53.705589; 85.105637; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-578.715332; 17.978088;-381.996155; 40.754642; 19.251745;-10.803724;-585.739136; 381.955902;-477.843079;-10.498124; 0.000000; 0.000000;-593.173035; 749.741516;-505.194580;-2.889698; 2.396948;-6.863119; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-422.244568; 23.704346;-381.773438; 29.798805; 18.717911; 22.737597;-418.734344; 391.727386;-460.909454;-10.594962; 0.000000;-0.000000;-438.564667; 759.805359;-474.873016;-0.234101; 4.331297; 9.140378; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
5;0;;-523.568726; 919.293762;-493.025177;-759.581177; 740.355835;-542.008240; 0.033544;-0.111288; 0.160955;-743.151123; 984.781250;-506.611237; 0.000000; 2.894089; 0.000000;-660.246704; 1284.088501;-506.291290; 180.933289; 156.590530; 127.905121;-273.770325; 736.744751;-490.250885;-0.016553;-0.128954; 0.218698;-316.420990; 978.058472;-455.389893; 0.000000; 2.904858; 0.000000;-419.515320; 1270.874756;-464.781616; 72.050064;-52.870476; 86.020813; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-578.947083; 18.595245;-382.973145; 40.863525; 19.312445;-11.593999;-585.499634; 382.392334;-479.536865;-10.537179; 0.000000; 0.000000;-593.634338; 750.126404;-507.377563;-3.656363; 2.732330;-7.822037; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-421.707642; 23.841034;-380.837646; 29.979893; 18.710028; 22.319809;-418.918091; 391.630341;-461.081329;-10.435122; 0.000000;-0.000000;-438.986145; 759.612854;-477.073059;-1.316865; 4.021585; 9.400891; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
6;0;;-523.840820; 919.710388;-493.115967;-759.484863; 740.378357;-543.960388; 0.044020;-0.133854; 0.154580;-742.533936; 984.779297;-508.641113; 0.000000; 2.900175; 0.000000;-660.295471; 1284.265991;-507.054016; 180.613785; 156.860977; 126.408066;-275.542847; 736.589722;-492.585632;-0.027827;-0.135269; 0.219126;-317.064209; 978.037354;-457.292297; 0.000000; 2.904823; 0.000000;-419.148193; 1271.233887;-465.813751; 72.477333;-52.442448; 86.462090; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-579.040039; 19.422729;-383.625610; 40.958111; 19.356104;-12.318809;-585.625427; 383.147522;-480.458923;-10.534187; 0.000000; 0.000000;-594.500671; 750.840820;-508.610077;-4.206122; 3.115973;-8.611115; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-420.708893; 24.137177;-380.691589; 30.033381; 18.698681; 21.902658;-419.100067; 391.664368;-462.158997;-10.489955; 0.000000;-0.000000;-439.716675; 759.588623;-478.780457;-2.028366; 3.653339; 9.835812; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
7;0;;-524.326111; 920.203552;-493.279633;-759.567566; 740.520020;-546.088440; 0.059326;-0.159044; 0.148904;-742.131836; 984.897034;-510.838898; 0.000000; 2.905545; 0.000000;-660.369324; 1284.505005;-508.010468; 180.203201; 157.189041; 124.994438;-276.690521; 736.434204;-493.469696;-0.036508;-0.137149; 0.218938;-317.900818; 978.058716;-459.031891; 0.000000; 2.909942; 0.000000;-418.742401; 1271.692871;-467.278412; 72.823586;-52.194599; 86.568695; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-578.699829; 20.375000;-384.683838; 41.062798; 19.378340;-13.097529;-585.855347; 384.051239;-481.658783;-10.560770; 0.000000; 0.000000;-595.783691; 751.718384;-509.799347;-4.665372; 3.587968;-9.324747; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-420.739929; 24.412781;-380.547943; 30.118181; 18.611116; 21.307789;-420.002411; 391.705719;-463.077728;-10.446542; 0.000000;-0.000000;-440.789795; 759.567993;-480.821808;-2.827276; 3.274540; 10.093370; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
8;0;;-525.018860; 920.877319;-493.950989;-760.266418; 741.193970;-549.227600; 0.072760;-0.183942; 0.143176;-742.781860; 985.509644;-513.579773; 0.000000; 2.906386; 0.000000;-660.779114; 1285.037842;-509.527740; 179.681946; 157.506973; 123.718430;-278.546875; 736.263428;-495.578064;-0.042735;-0.138513; 0.218706;-319.382751; 978.135254;-462.455414; 0.000000; 2.918741; 0.000000;-418.515656; 1272.374634;-469.794586; 73.098289;-52.273735; 86.520142; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-577.863098; 21.662079;-385.100586; 41.047218; 19.341043;-13.702688;-586.138916; 385.162872;-482.643158;-10.607093; 0.000000; 0.000000;-597.359985; 752.771179;-511.066254;-5.074376; 4.088962;-9.827826; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-420.147552; 24.841034;-381.780396; 30.047274; 18.515867; 20.525297;-420.691132; 391.942444;-465.159729;-10.506129; 0.000000;-0.000000;-442.130798; 759.755554;-483.146149;-3.415072; 2.862342; 10.296485; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
9;0;;-525.513794; 921.414734;-494.178802;-761.694885; 741.871887;-550.540527; 0.087808;-0.206913; 0.136658;-743.387146; 986.224976;-515.568848; 0.000000; 2.910111; 0.000000;-660.869507; 1285.604614;-511.028229; 179.127594; 157.974686; 122.482811;-280.185608; 735.993958;-498.901611;-0.043938;-0.141552; 0.219907;-320.115875; 978.212646;-467.242035; 0.000000; 2.927383; 0.000000;-417.775177; 1272.980591;-472.944733; 72.986885;-52.683178; 86.013771; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-577.422241; 22.701111;-385.847137; 40.903301; 19.284220;-13.681736;-586.705261; 386.076782;-483.764252;-10.871926; 0.000000; 0.000000;-599.002930; 753.750366;-510.866791;-5.093559; 4.543331;-10.249394; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;-419.489532; 25.087250;-381.627686; 29.990688; 18.384851; 19.407112;-421.486450; 392.003815;-465.794586;-10.446856; 0.000000;-0.000000;-443.431641; 759.742371;-484.673279;-3.967119; 2.418500; 10.430177; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
