nose_x,nose_y,nose_z,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_x,left_eye_y,left_eye_z,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_x,right_eye_y,right_eye_z,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,mouth_left_x,mouth_left_y,mouth_left_z,mouth_right_x,mouth_right_y,mouth_right_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_x,left_pinky_y,left_pinky_z,right_pinky_x,right_pinky_y,right_pinky_z,left_index_x,left_index_y,left_index_z,right_index_x,right_index_y,right_index_z,left_thumb_x,left_thumb_y,left_thumb_z,right_thumb_x,right_thumb_y,right_thumb_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z
-252.77811087613705,-76.03957342449722,2890.8210685452686,-231.25497539156274,-103.11670031388701,2895.9510738602867,-215.84197362998182,-101.11716492756838,2894.683467522389,-201.84328930391777,-98.03253287626367,2891.470510390818,-263.66890028837645,-103.60472119434593,2904.4147324789824,-273.525519532098,-102.54932297924212,2911.9259483740634,-283.2320840270076,-101.47723326854374,2923.6057177352095,-184.2592655060363,-76.25543729330515,2916.913360314933,-295.3142717861723,-81.54774080352345,2960.47816396103,-229.8503701912042,-32.269494531022644,2889.974330032502,-268.55112126248514,-37.31581299285727,2906.0284012560323,-77.91215021130455,167.72973588490774,2862.0183870321875,-419.3085164237082,152.65947159871112,2988.171322320729,-252.90102015505377,362.0258441506094,2745.149802753038,-384.3408665955125,347.5548206536705,2853.652247480147,-414.0389452775913,181.1109605873909,2838.113457596441,-164.0322025857937,212.47144650986857,2839.719397738033,-430.75501521563007,153.94591632058922,2898.420784768133,-105.83157924398776,188.282312132731,2847.478828499811,-427.06178849686916,131.47572105603425,2880.238658985489,-113.10810033034645,160.59457995541757,2922.011457750293,-78.06815197843545,161.451458777814,3263.358053792314,-129.84019830376366,176.25523613040912,2924.0309066110785,-156.8283019564088,693.6562215301258,2885.9099504486458,-382.1702051895779,689.4612205579546,2948.284450933033,-217.1203817008217,752.4256660174602,2468.0346336817734,-597.3148047827648,752.1551296042002,2622.683186109824,-218.445578823115,1187.3836211485013,2584.9754601870154,-543.2806217028782,1179.1434947738546,2723.8407815272626,-225.44152816550508,1250.6839318100065,2646.0634827717554,-495.3325626258542,1254.181494870489,2775.8565643307393,-275.3503106833395,1264.2905684630248,2432.0134729910233,-601.6439958532592,1303.457623008949,2655.4260176091316
-249.01248669648535,-71.20589664022242,2865.776400976685,-228.45533939818432,-98.36995353189725,2875.313523016608,-212.78281212475724,-97.07035444833252,2878.4664629863696,-198.4787651406903,-94.46621928392425,2877.035205559147,-259.82925756179486,-98.4531345875251,2882.391392576732,-269.99969410565694,-97.30969516305903,2888.4697201758213,-280.24595789419374,-96.0340058516918,2901.910159120305,-176.87804080418934,-72.60440194344103,2905.8813297169295,-292.0586101593357,-76.1094001524548,2943.1057342442546,-226.0562561287687,-27.351476388449136,2869.063612957308,-264.2437585291027,-31.503886618393054,2881.7594528335103,-68.06216097802452,167.34885122327717,2840.612068772612,-413.52995430922044,155.05899568116772,2971.53888646104,-261.66292981795664,345.7370269500001,2700.099071845941,-378.03587824658916,345.8203091204458,2818.945647806774,-388.68511392203146,185.047389395207,2842.218440998636,-161.03443684884715,217.1937656779169,2819.798953101308,-423.1972164995804,153.96936053943165,2881.184950206205,-99.73483999495937,192.59539936102897,2829.186617926706,-416.51248025177904,133.81243683998014,2870.126623462608,-109.57701500047804,164.5345138215478,2898.5662033330564,-69.1753786196588,174.71003993037436,3248.7261847706286,-115.34919964911275,182.7417213994602,2911.4505778284406,-148.4834964462342,690.5142738189763,2849.5221356147945,-372.58467688308065,690.4955207268879,2924.814525230498,-209.31527695548058,748.0001183742128,2460.3461803455625,-591.1301371519573,750.1667960152389,2614.2007900942954,-217.3691827877554,1176.852688974793,2560.9332541953536,-535.0284108741467,1171.0137434716478,2697.515307719394,-226.93543449657048,1242.886286928238,2626.4230862795785,-487.5871079816279,1242.9864933739705,2742.799724193021,-268.7097269044525,1262.1218666978025,2430.5730952843332,-601.5680513111344,1281.0531640927807,2602.3372167012403
-255.11576871714007,-67.8911672981157,2843.949154866522,-232.80717263408076,-95.99842673040031,2857.375222661207,-217.58888185074034,-94.73386823294763,2860.3056782667536,-203.01251039342026,-92.40494241851624,2860.2803142406724,-264.47719642063856,-96.13013437611914,2867.0148108802937,-274.49729136883855,-95.05848912628691,2874.0583589341268,-284.30025134185956,-93.81858732037117,2888.103815453157,-176.16686979533904,-71.35500387280723,2899.4856842971444,-291.7883833465739,-74.09464820944326,2937.543303099758,-230.12784323711486,-23.704775564214298,2851.5712820545705,-268.7310618892718,-27.585407427231054,2864.2604587840237,-63.84136682609085,166.21727629258322,2833.0702961308207,-410.73639826945214,157.52387248421294,2973.60664149273,-265.7082122933503,345.91053803923705,2693.1206299349296,-370.60464849591096,350.78706865675304,2805.4226470824196,-378.4302747024559,182.3825635469896,2856.374002660746,-157.8493049823272,212.8171122178302,2812.3182689187374,-415.5963393004741,148.77923156231276,2896.522703581929,-93.516804491865,187.63504337456453,2822.3051710534464,-407.80706998461505,128.36782185592222,2886.8784447557564,-99.54386236929061,162.33807205873967,2856.3172740001746,-280.0411891708379,153.26110915439392,3006.7455121281764,-108.86639270754017,185.00803888852153,2902.6789040009508,-142.00021479967992,695.5395169778757,2850.1785316589394,-365.48457027559255,695.088469190473,2928.746287470919,-209.0182427932652,741.4232606247516,2457.146715193994,-589.0097754155132,746.2790154577241,2610.495078849448,-218.44032141846134,1175.1435599082745,2555.502183179218,-530.1964886844107,1164.2988058730264,2689.739796491264,-227.5475881198312,1242.591250642152,2621.5235361827126,-482.8733301730245,1235.9527046855828,2733.441231625123,-264.11087020247805,1263.9423516969275,2428.2961618346208,-607.294171655211,1255.1067258002186,2568.3585601999102
-260.65374937337674,-65.24656772657718,2830.927430135557,-236.5030920673967,-94.41787687239564,2846.2162611342264,-221.8625651845494,-93.05338593552666,2847.594492797497,-207.2906086648211,-90.91214681494125,2848.348648537332,-269.1010561431175,-94.91052062698135,2859.1858001169862,-279.35811372397694,-93.96441170882252,2867.008194120773,-288.3598012996879,-92.89388103501233,2882.4046191255147,-177.94113687273347,-70.9852149900228,2895.272282343746,-292.29272658442613,-73.40765234865479,2936.284981087479,-234.37026398786824,-21.536885559498735,2841.1972779527964,-273.7714858645694,-25.217103989690845,2856.074817507826,-62.6205977301766,162.67148449286873,2831.575527342634,-407.2685515159231,159.0162275440587,2984.895996497765,-265.68391762782335,350.75212036923807,2693.1507559728384,-366.9408702540811,357.6587291589953,2797.8234099940555,-379.8195617929433,178.91221430119253,2859.0917574824807,-171.9453596400022,201.63686774412037,2789.607075214376,-416.1575093034471,144.39352787298628,2908.7290191204347,-101.62932126743583,176.9595068688373,2802.450279506831,-404.40311856618484,122.93707234942138,2901.236217668182,-98.68537920579104,154.7752869445851,2819.7795967364673,-423.62735093171216,135.0751145208746,2848.1278294937165,-129.23334543819982,178.03298432732868,2878.3111197958888,-137.00697164460055,698.5399871770178,2856.8725188652843,-359.0757061116043,697.4433317305717,2938.7568040754572,-209.38753369868493,737.2849825442428,2457.3436740384227,-586.8451735121873,739.2555707684403,2610.1330094589475,-218.92959425860965,1176.8224765090722,2561.326629237953,-526.8655550422691,1161.42018921392,2691.5690244275484,-226.51121617122985,1246.999717024885,2626.6054115101874,-480.2415918226783,1234.1626679350375,2735.6404425441133,-264.43306426193226,1257.3784339383487,2415.5057086839042,-612.4651861197801,1238.0088999399386,2559.54494795054
-261.22235418241326,-63.01154185289731,2826.3050880663313,-236.45498535064763,-92.96639811383625,2841.2393653594486,-222.07330572309576,-91.63848775672601,2842.145042108392,-207.96249834272592,-89.68483538455638,2843.500980017479,-270.14069950538675,-93.7900532368606,2856.3937536139692,-281.20121498451556,-92.94072630133348,2864.116437630699,-289.6533956396399,-92.06552494834648,2880.88895751212,-178.3892407950062,-70.67716494010045,2892.775727856877,-292.5301814495149,-72.65486359891229,2934.6019289047217,-235.06243711258372,-20.525752018996137,2837.2366929304776,-275.49127987585155,-23.673324119359727,2854.1269886705945,-61.406722081134916,158.70990030990822,2832.0166811768277,-402.2736463448745,158.86260407238294,2996.4062248857836,-262.9221642400581,350.79938359668876,2685.962637729287,-366.90761877525443,360.9128269335462,2788.680430387112,-383.01782899762804,177.44984754481314,2850.9296347476106,-191.00534535846106,189.91611987906145,2762.011112957798,-419.25515481802336,143.21872642841706,2909.111085248537,-115.26919594318804,165.6983755363985,2777.776728805842,-403.4291985109129,120.27075938404766,2903.762926004556,-107.45870917325398,144.8201302524505,2805.7427863648813,-387.15012598558917,135.88231605616141,2892.4553813304947,-153.95748640812243,165.49768078592535,2849.9019437437278,-133.40253290632353,695.9473560203511,2855.900375956851,-353.38493580669063,695.2876979786165,2944.9898233008944,-208.39136201882252,735.7854137728389,2457.1019930114544,-584.1058272514089,733.9379379926816,2614.0241290942568,-219.1861287374687,1177.106971134861,2568.814111796138,-523.4704401179521,1163.8001550766915,2693.688120801026,-224.82426413156267,1253.0618492730177,2635.6003447760313,-476.85096541100927,1236.5147584798885,2737.4744533754088,-268.5913285767617,1242.7126396221647,2399.743202614326,-616.2141395639628,1233.9867608480008,2564.777027904866
-259.9689823209749,-61.97552409848707,2825.8326249203515,-235.82466659845437,-92.29021364124378,2839.623755025006,-220.8700934885849,-91.04274665129455,2840.9306464012943,-207.18345146504404,-89.18681684308197,2842.6882533312796,-269.93792573122306,-93.198473574665,2856.123385606036,-280.6018566452225,-92.42368907301274,2864.301624632397,-289.3727475808743,-91.68391091901279,2882.111238476297,-177.68143847011416,-70.60984323610685,2891.9067229072875,-292.70421919688624,-72.30048734854688,2934.202327376141,-234.43143169684677,-20.32452693794196,2836.6688169693525,-275.20526495457165,-22.931361455021552,2854.4738613823965,-61.261318082774686,156.08705282672503,2832.56535670094,-397.1433752351013,158.76318703985538,3007.114956851451,-262.0702452410922,349.42068754809236,2680.9086945257905,-366.41183857869,363.6923265322064,2783.321773985301,-385.99945584799934,176.98473468733505,2844.2897174173086,-196.35718217635832,182.67126591173542,2755.9654515316197,-422.9412583035105,142.64085166457352,2906.8655449138387,-120.61615790067924,158.54460564680457,2769.847251416156,-401.7335574756033,118.28100301035974,2906.8687969849066,-110.64314044610201,138.6503306340466,2799.409972256509,-385.48975261519183,134.3831258106325,2894.209349746723,-166.8134405877869,155.3153171275335,2838.9926753133486,-131.46258760277956,693.5051501220368,2857.1235881678026,-349.47493694332786,693.2700312910054,2951.7139097168456,-207.327131057956,734.7056937319275,2456.6351780855252,-581.7065895571609,730.3598370997004,2617.4972064414546,-218.92198865515869,1176.884618046276,2575.0073632873537,-521.4769582579457,1168.4171223592903,2694.301555069115,-224.19695460359458,1256.6626681625921,2642.2044912502124,-474.52363141627785,1241.1998431306417,2738.798259870554,-268.94889188113234,1229.181901060157,2386.371463663449,-617.5348546097277,1230.7416974962816,2565.2392205557767
-259.54918772973434,-61.4571366013702,2824.5879454063584,-235.3163047690418,-92.13573263077971,2838.554414661928,-220.05664021608783,-90.90493899128793,2840.307014031282,-206.35912075521225,-89.12618373491514,2842.8452686801447,-270.06623417045455,-92.89173445514831,2855.1860948398744,-280.19150146471463,-92.12774189372854,2864.149009244843,-289.4567578511105,-91.47053727114195,2881.5330916923767,-176.0663352821428,-70.75268918380866,2892.6628442920946,-292.75369354276364,-72.02094021190328,2933.4185129236107,-233.8777933657014,-20.177838134146945,2835.653539601016,-275.1800178698429,-22.43491911609837,2852.976213312629,-60.36964730478677,154.92428167197673,2833.5970805033658,-394.7062278699425,158.05193117039153,3010.758676553266,-258.65800152444865,349.0841450362743,2682.8566292527703,-364.3964098510905,365.32397646973686,2784.964071936364,-382.17898337991744,177.1581754347694,2847.7696643196637,-190.32789305083898,180.20008404765477,2764.7708610135364,-416.6160998223478,141.50358328956924,2913.658583418315,-116.38903529305131,155.60544263453917,2776.702518883276,-395.85147064610015,116.22350361028603,2912.289739540864,-110.11673972095464,135.7216131145026,2800.1939940319608,-380.75536088708895,132.90330436056325,2898.134848834953,-160.44468426533723,151.34148249105584,2844.0106255891333,-130.2758388782652,691.5018514635644,2860.120098482227,-347.55887605415523,691.0420099870862,2956.485398081114,-207.1216790687727,733.4498198197839,2455.2436482293365,-580.5678314852612,729.5568426144443,2619.729643184892,-219.08122022873548,1177.9328526392308,2577.2626268449067,-519.5799786890681,1172.38138251262,2694.3258989948986,-225.11167927973716,1259.3127169477248,2643.658626220008,-471.2084974778886,1246.221131717998,2739.0344447744637,-262.6639832302076,1226.5027511810774,2387.725116708876,-619.4176682649852,1229.0602273708023,2559.9221582826135
-259.7130157118526,-61.12150241122223,2823.335994567162,-234.59764659598608,-92.10007293436303,2838.5569604152215,-219.2862825607213,-90.86469892139704,2840.388242462852,-205.12224884587144,-89.14122154596637,2843.801251769153,-270.2531550722197,-92.70510745394792,2854.3175478415333,-280.01016398437343,-91.93566852784814,2863.7315866065537,-289.8315385372465,-91.30359153653718,2880.631291209341,-174.6482862540724,-70.90270801595311,2893.613895946647,-292.6961279182433,-71.83528679177408,2932.5944245051187,-233.31373624177314,-20.070952995016924,2835.0475927380858,-275.353110314147,-22.20487808095082,2851.4894403559715,-59.53551340129246,153.5895778154171,2834.305108140573,-393.5288767662882,157.2161371506394,3010.8181811496024,-255.31609854847488,350.7387209141982,2685.7375558714434,-362.4565159991874,368.2087881039814,2790.6834163017006,-379.1361412747286,177.6130969222045,2851.205306198787,-187.23185348912102,179.12996814956674,2770.0706800236376,-412.66883751242364,140.52654138091557,2917.9816356691936,-113.07505611243485,154.7751256004291,2781.8149310309154,-392.8531382850318,115.00209107854536,2914.2924164126825,-109.12893873343809,134.77341554482203,2801.8363037142203,-377.74561472687026,131.98795308613205,2900.1326889630336,-157.38526113937962,150.20808178676572,2849.1868674393527,-129.67914769543404,689.8857299704473,2862.2347889434586,-347.12589494370184,689.1732366563115,2958.0647108000812,-206.71013205022322,733.4427082541997,2455.2120513394793,-579.7276518143619,727.976455972621,2619.3552924433357,-218.3051099127046,1180.4541515823041,2578.6230829929837,-518.2888606275638,1174.1048586214324,2695.209498337891,-225.82475314420228,1261.1661362920954,2642.213933198556,-468.40657725417367,1252.936459640299,2749.472388639286,-254.73587677418698,1229.5016219673166,2393.504268576209,-620.0041492745668,1227.0536787715596,2554.460637250684
-259.9752989807268,-60.871229558686515,2822.5529509631406,-233.81664820131988,-92.01052454021767,2839.035377776655,-218.4953580793291,-90.77848716359128,2840.8654139770742,-203.9471222638783,-89.0983233755383,2844.995622237834,-270.34510740738654,-92.52620730745286,2853.5901282223726,-280.04465528795856,-91.76703431258608,2863.148994093001,-290.33772010631037,-91.11133728181544,2879.5737259627967,-173.49984061727392,-70.93386888019015,2894.4063981365816,-292.6332168676862,-71.64327239966548,2931.962097359715,-232.62929299216484,-19.94665925594249,2835.1900196058655,-275.46207141110955,-21.964191425256807,2850.491147986557,-58.405423133216665,152.54725224111155,2835.104902223075,-392.87274058369223,156.29470445936244,3009.832520300596,-253.14772209948438,351.3719951475621,2686.908645256087,-361.4599248583821,370.77304029874995,2795.681902788443,-378.9597508705699,177.85020066062035,2851.4798166588566,-183.5093367955275,179.07614754312542,2775.1220172753274,-412.2031302778701,140.16314522047983,2919.2168617981874,-109.21501396120269,154.671152889693,2786.6968552606177,-393.5754851455922,114.2943999767509,2913.372635273654,-108.83672272777312,134.15196129793583,2804.9384856731913,-377.66599223370923,131.38846924483823,2899.9753821111335,,,,-129.65888121519293,688.8799660590907,2862.9761677074684,-347.8666856814103,687.8299672765962,2958.1402561549103,-206.4676062639632,733.9945917674669,2455.407715930888,-579.6367728430664,727.3650946770545,2618.9999111915035,-217.50753700462775,1181.907332278166,2579.2624504009136,-517.5247346614564,1174.856698776771,2695.640346459938,-225.84530574402808,1262.0349963907172,2640.6895507712916,-469.79438997375,1241.3590381299134,2710.9796021729894,-249.75247296576796,1232.8435006935001,2399.717109148323,-619.1138737545593,1225.7207227721192,2550.6841965777
-259.617457040609,-60.61550295186037,2822.965902352181,-232.93302368782122,-91.84252632673383,2839.971647120259,-217.5438534934219,-90.61127996598131,2841.8398951349045,-202.75717078709607,-88.95753071728726,2846.5088193773445,-269.93844075613254,-92.34519271912922,2853.6461273160476,-279.6695559073835,-91.60512675084581,2863.346784913101,-290.2744298251952,-90.93277607379169,2879.3346428738378,-172.6668441563843,-70.80519677460634,2895.0934221824273,-292.21924393598334,-71.49715949008113,2931.8844894799763,-231.91639577225124,-19.75813883231607,2836.12168792762,-274.9590747428183,-21.770905164075934,2850.708734657679,-57.69740885364811,151.65814089344403,2836.0823895332715,-392.23083878553166,155.86025036048804,3010.1476132077782,-251.8344489403869,351.7766000306178,2687.364269877714,-360.78439096986347,372.8459566210197,2797.363563607853,-379.5181218642833,177.12930333776274,2850.118534019366,-180.26699029042396,179.7581858412135,2778.6037476227484,-413.9468317986652,140.51378947725024,2916.899496732828,-105.00548768736923,155.2289485842719,2790.29821688957,-394.7596011038012,114.0176864034055,2911.858651126584,-99.03656110864047,135.62882963183978,2812.022483794292,-378.28109880466644,131.15022450924255,2898.9745518199925,,,,-129.78867720683687,688.2305715652051,2863.336378069736,-348.23075360144185,687.0286829858485,2958.2532349577555,-206.55793450475693,734.8107778420997,2455.426201905586,-579.700841115336,727.3803148240871,2618.802141172678,-216.92272537992812,1182.4590417872525,2579.4704068636506,-517.1756453502489,1175.5422954923906,2696.19674665076,-225.78068333550988,1261.8729160756088,2640.222628428539,-472.97215232133414,1223.6040955465253,2656.6691267036786,-248.6417204921551,1233.8041958168117,2401.0884701821087,-618.8367278973274,1224.8376700905537,2547.7727089423447
